,0
0,11.123836
1,8.027962
2,13.228268
3,7.8247676
4,18.916883
5,4.428717
6,7.0275116
7,5.0269575
8,7.1305585
9,4.066993
10,8.668477
11,2.0507202
12,2.7322645
13,7.860613
14,72.32972
15,14.724583
16,73.96473
17,3.3296976
18,3.6281214
19,6.707346
20,3.028788
21,12.432921
22,4.4485064
23,5.2348795
24,11.709406
25,21.878672
26,2.2565694
27,9.716735
28,2.4564145
29,3.7581553
30,3.0672917
31,19.087585
32,4.5682197
33,3.5785012
34,11.51004
35,12.731023
36,68.33242
37,3.026784
38,6.969774
39,2.2196639
40,18.120766
41,2.8041563
42,7.682177
43,2.875554
44,4.027928
45,3.3437037
46,3.1684918
47,9.966544
48,11.036062
49,4.1171913
50,2.1342654
51,12.773994
52,4.62782
53,3.1927013
54,3.6616526
55,32.479725
56,23.035889
57,2.7117867
58,2.395722
59,2.9592414
60,3.993895
61,9.013915
62,24.001328
63,6.33765
64,104.6017
65,16.159376
66,1.9086252
67,14.465775
68,2.6967878
69,3.9174
70,19.77702
71,5.707257
72,2.5350208
73,10.326155
74,7.8339324
75,5.4509478
76,23.53045
77,4.672171
78,2.2947903
79,5.2645917
80,8.779076
81,8.3399315
82,1.7900989
83,6.095708
84,33.911892
85,5.131315
86,134.20622
87,4.9324703
88,12.7957535
89,2.5548072
90,3.755034
91,8.459722
92,2.0515146
93,6.7027636
94,3.0976787
95,2.5984106
96,2.4106014
97,4.3825426
98,2.3883548
99,3.055964
100,2.9289231
101,0.7399668
102,5.652957
103,4.1111298
104,2.6015043
105,1.9906998
106,3.598412
107,24.20359
108,7.102688
109,10.032472
110,5.9215894
111,11.295686
112,5.4025044
113,6.8208838
114,2.5512185
115,8.018252
116,3.289297
117,4.291746
118,17.487057
119,6.4524107
120,10.470371
121,18.915056
122,2.4845977
123,13.721289
124,3.804524
125,74.82392
126,2.931942
127,16.595636
128,2.4475918
129,11.815189
130,2.4036806
131,5.1016006
132,2.3574996
133,10.106663
134,4.9413395
135,2.9039392
136,15.77681
137,53.731667
138,6.9383926
139,2.5820155
140,3.0325942
141,3.0464735
142,110.978676
143,3.7242036
144,4.2746058
145,3.4960337
146,2.1278467
147,4.673563
148,8.929742
